0	861
0	939
0	3039
0	4951
0	7741
0	8694
0	11141
0	12374
0	14389
0	14880
0	17616
0	17618
0	18058
0	18067
0	18891
0	20630
0	21423
0	21595
1	76
1	1260
1	1484
1	2851
1	3405
1	3813
1	4067
1	4549
1	4591
1	4920
1	5271
1	5345
1	5496
1	6107
1	7204
1	7331
1	7353
1	7367
1	7509
1	8189
1	8313
1	8408
1	9684
1	9699
1	9767
1	10286
1	10502
1	11089
1	11106
1	11221
1	11324
1	11374
1	11633
1	12636
1	13085
1	13494
1	13683
1	13778
1	13832
1	14215
1	14383
1	14600
1	16961
1	17759
1	17896
1	18146
1	18470
1	19536
1	19748
1	20797
1	20815
1	21014
1	21879
1	22592
2	9499
2	14621
2	15934
2	18753
2	21969
2	22517
3	9471
3	10099
3	15211
3	20855
3	22616
4	351
4	5204
4	7593
4	8478
4	10111
4	16451
5	6575
5	7071
5	13122
5	13843
5	16554
5	17045
5	19689
5	19964
6	5325
6	5415
6	8111
6	11688
6	11767
6	14266
6	16121
6	18393
6	18879
7	7135
7	9787
7	15984
7	22481
8	3123
8	4551
8	4811
8	10560
8	11064
8	11722
8	16190
8	20352
9	756
9	1636
9	1854
9	2083
9	2123
9	3253
9	3529
9	4016
9	4027
9	5066
9	5083
9	5811
9	8254
9	8348
9	8428
9	8981
9	10055
9	10112
9	10476
9	11633
9	11694
9	12028
9	12696
9	14334
9	15115
9	16077
9	18206
9	18322
9	18610
9	20187
9	20527
9	20772
9	20814
9	20864
9	21248
9	21365
9	21414
9	21432
9	21484
10	1724
10	4964
10	5024
10	8610
10	11786
10	14266
10	21444
11	2890
11	16077
11	20682
11	21759
12	335
12	10571
12	13861
12	14188
12	14300
12	14383
12	16767
12	19396
12	19871
12	20354
13	3928
13	4356
13	4591
13	10439
13	13348
13	14213
13	15369
14	368
14	1188
14	1807
14	4496
14	6188
14	8091
14	10112
14	10793
14	11972
14	17097
14	17156
14	18751
14	18991
14	22475
15	3134
15	5579
15	13595
15	20792
16	9399
16	9665
16	12375
16	13622
16	22061
16	22646
17	38
17	1765
17	1995
17	4806
17	5311
17	8884
17	9755
17	10457
17	14879
17	15001
17	17896
17	19716
17	20154
18	483
18	6986
18	11812
18	14934
19	483
19	5340
19	10496
19	14983
19	16896
19	21574
19	22528
20	4445
20	4496
20	5322
20	5645
20	6992
20	7383
20	8370
20	14785
20	17024
20	21584
21	3033
21	12137
21	18592
21	20077
22	1666
22	7836
22	20187
23	527
23	3845
